lga_name_2016, lga_code_2016, p_y8b_tot, p_dngts_tot
"Lake Grace (S)","54900",36,8
"Claremont (T)","51750",52,10
"Cockburn (C)","51820",3043,540
"Collie (S)","51890",354,11
"Merredin (S)","55460",128,19
"Corrigin (S)","52100",52,0
"Cottesloe (T)","52170",68,0
"Cranbrook (S)","52240",53,0
"Cuballing (S)","52310",35,3
"Cue (S)","52380",9,0
"Cunderdin (S)","52450",55,0
"Dalwallinu (S)","52520",64,0
"Dandaragan (S)","52590",142,0
"Dowerin (S)","52940",18,0
"Dumbleyung (S)","53010",21,0
"Dundas (S)","53080",35,3
"East Fremantle (T)","53150",139,13
"East Pilbara (S)","53220",189,63
"Esperance (S)","53290",421,23
"Exmouth (S)","53360",48,3
"Fremantle (C)","53430",1050,157
"Gingin (S)","53570",184,31
"Gnowangerup (S)","53640",30,5
"Kalgoorlie/Boulder (C)","54280",635,80
"Karratha (C)","54310",266,43
"Goomalling (S)","53710",52,0
"Gosnells (C)","53780",3489,1262
"Greater Geraldton (C)","53800",1400,123
"Halls Creek (S)","53920",222,77
"Harvey (S)","53990",692,71
"Irwin (S)","54060",152,8
"Jerramungup (S)","54130",26,4
"Joondalup (C)","54170",2137,255
"Kalamunda (S)","54200",1254,194
"Katanning (S)","54340",240,157
"Kellerberrin (S)","54410",85,6
"Kent (S)","54480",9,0
"Kojonup (S)","54550",61,0
"Kondinin (S)","54620",35,6
"Koorda (S)","54690",25,0
"Kulin (S)","54760",25,3
"Laverton (S)","54970",45,3
"Leonora (S)","55040",29,9
"Mandurah (C)","55110",2604,160
"Manjimup (S)","55180",363,51
"Meekatharra (S)","55250",38,0
"Melville (C)","55320",1910,276
"Mukinbudin (S)","55950",26,0
"Menzies (S)","55390",22,12
"Mingenew (S)","55530",19,0
"Mundaring (S)","56090",768,69
"Morawa (S)","55670",22,0
"Moora (S)","55600",90,3
"Ngaanyatjarraku (S)","56620",286,8
"Nungarin (S)","56860",7,0
"Peppermint Grove (S)","56930",5,0
"Mosman Park (T)","55740",71,24
"Mount Magnet (S)","55810",14,3
"Mount Marshall (S)","55880",18,3
"Ravensthorpe (S)","57420",69,6
"Murchison (S)","56160",10,0
"Murray (S)","56230",588,37
"Nannup (S)","56300",33,3
"Rockingham (C)","57490",2412,222
"Southern Midlands (M)","65010",262,9
"Tasman (M)","65210",104,0
"Waratah/Wynyard (M)","65410",672,38
"West Coast (M)","65610",179,10
"West Tamar (M)","65810",639,53
"Narembeen (S)","56370",31,6
"Narrogin (S)","56460",198,5
"Nedlands (C)","56580",161,29
"Northam (S)","56730",386,32
"Northampton (S)","56790",132,5
"Sandstone (S)","57630",3,0
"Serpentine-Jarrahdale (S)","57700",469,51
"Shark Bay (S)","57770",20,0
"South Perth (C)","57840",606,136
"Stirling (C)","57910",6706,1787
"Subiaco (C)","57980",197,31
"Swan (C)","58050",3390,871
"Tammin (S)","58190",18,0
"Three Springs (S)","58260",18,0
"Perenjori (S)","57000",11,4
"Perth (C)","57080",218,85
"Pingelly (S)","57140",58,0
"Plantagenet (S)","57210",180,40
"Port Hedland (T)","57280",219,69
"Quairading (S)","57350",57,0
"Toodyay (S)","58330",159,11
"Westonia (S)","59030",8,0
